0.2863,0.1277,1.9969,-3.6056,1.1559,3.1720,1.7359,1.5513,-1.2019,0.3454
-0.1431,2.1363,1.0123,-1.3878,0.8861,-0.9237,1.8174,1.4620,-1.2207,1.3347
1.2089,1.8418,3.4078,-0.7858,0.5184,-0.4305,1.4423,2.2462,-1.6965,1.3934
2.3876,1.6558,0.5495,-0.8309,-1.8319,2.3069,0.3299,0.3067,-4.0158,-0.1566
1.2423,2.2055,-1.2034,-2.5524,1.7414,1.2314,1.0256,0.5512,-2.1268,0.9735
2.5863,0.6202,1.5139,-1.1086,-0.3509,1.8906,0.0985,1.8830,-1.5058,1.6664
0.9952,2.0325,-0.4458,-0.8626,-0.7211,-0.0794,0.9755,0.1964,-0.9985,0.5054
0.5333,3.0358,3.2276,-3.8355,1.8335,-0.5625,-0.5207,0.9752,-0.3693,1.1174
2.1560,2.2201,2.2253,-1.7576,0.3112,-0.1216,0.7383,-0.5545,0.3032,1.6070
1.9504,-0.1074,0.8343,-1.9978,0.6296,0.3982,-0.1871,-1.2726,-2.4606,2.0387
1.4884,-0.1025,0.7174,-1.9877,-0.2845,4.1753,0.4787,0.8182,-0.3131,0.6175
2.1389,1.5632,-1.3064,-1.0471,2.1929,0.7872,2.5413,-0.3481,0.0554,0.4273
2.6512,2.0929,1.4674,-2.7199,0.1530,-0.8982,2.1101,-0.8052,-1.1113,0.2976
1.4011,2.4679,0.8696,-2.2742,-1.5289,0.2303,0.4973,-0.1372,-1.2355,0.9935
1.7933,1.8425,0.8960,-2.0793,0.8884,2.4068,1.6241,1.3949,-1.9348,0.5952
-0.3314,1.0445,0.0141,-1.6064,-0.2981,1.4775,1.3500,1.4885,-2.3919,1.7201
0.7584,0.9086,1.3918,-2.5327,0.1330,0.7953,1.4848,-0.3788,-0.1092,-0.8555
3.5000,1.7691,0.5731,-1.5592,-2.2255,0.2850,0.0158,-0.0482,-0.1658,-0.1161
0.8529,0.3354,-0.3109,-2.9667,-3.2171,0.8013,1.9344,-0.1770,-1.9524,0.5308
2.2738,1.4690,-0.2088,-2.3636,-0.1107,0.5019,0.7533,2.5642,-2.5226,-0.0715
2.0249,-0.1351,3.0088,-2.3791,-0.3171,-0.7511,2.4283,1.2932,-1.5784,2.2846
2.8567,0.5064,0.8584,-1.7076,1.0551,1.5016,1.2699,-0.2418,-1.9644,2.1972
2.2189,2.1526,-0.0142,-2.0194,0.6873,0.6178,0.3719,1.0335,-2.2861,0.5453
1.9548,1.6504,1.4101,-1.4262,0.8778,0.0964,0.7147,0.4040,-2.3767,1.8325
0.4729,1.6701,2.5711,0.0397,0.1609,2.1502,1.0957,0.5864,-0.9465,2.3093
1.0299,2.2669,1.3705,-2.3754,0.8049,0.3904,1.2483,1.6458,-3.5363,2.4647
2.0757,1.2127,-0.1438,-1.1093,0.4878,-0.5397,-1.1389,0.4665,-1.8775,0.5767
1.1305,0.5461,0.0840,-1.4930,0.3915,1.4149,0.5188,-0.4218,-1.0716,0.7779
1.6870,1.7588,1.3203,-2.0620,-0.7883,-2.4633,1.4209,-0.4341,-1.8691,1.6861
2.6794,0.2043,0.4029,-0.9422,1.3607,-0.4222,0.7436,1.3916,-2.2391,0.8117
1.9102,1.9085,1.6577,-1.6667,0.7065,1.5254,1.8358,-1.5021,-1.9166,-0.4483
2.9932,0.3112,1.1384,-1.3454,0.2704,-0.8179,0.9993,-0.1308,-3.1483,0.9667
0.8737,2.2653,-0.7499,-2.1936,-0.4864,1.3447,2.5477,1.3318,-1.4157,1.7839
2.9594,1.7443,0.6478,-0.7072,-0.4876,0.9102,1.3536,-0.5403,-2.8424,1.2403
-0.4092,0.6395,1.5552,-1.9611,0.4436,0.9089,0.0620,-0.6864,-1.8309,1.6934
