fold,item,actual_category,guess_category,correct,bird_sim,building_sim,clothing_sim,fish_sim,fruit_sim,furniture_sim,invertebrate_sim,kitchen_sim,mammal_sim,musical_instrument_sim,plant_sim,reptile_sim,room_sim,tool_sim,toy_sim,UNKNOWN_sim,vegetable_sim,vehicle_sim,weapon_sim
0,robe,clothing,clothing,1,0.001,0.000,0.935,0.001,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.018,0.001,0.001,0.009,0.007,0.001
0,magazine,UNKNOWN,UNKNOWN,1,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.001,0.982,0.006,0.000,0.006
0,cheetah,mammal,mammal,1,0.000,0.006,0.002,0.002,0.000,0.000,0.000,0.002,0.953,0.001,0.033,0.002,0.001,0.000,0.003,0.006,0.002,0.000,0.000
0,pheasant,bird,bird,1,0.937,0.000,0.002,0.000,0.002,0.006,0.003,0.006,0.012,0.001,0.000,0.000,0.001,0.000,0.000,0.003,0.000,0.009,0.000
0,parakeet,bird,bird,1,0.924,0.000,0.001,0.000,0.002,0.006,0.003,0.006,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.006,0.000
0,coconut,fruit,fruit,1,0.020,0.000,0.016,0.001,0.881,0.000,0.000,0.001,0.001,0.010,0.068,0.006,0.004,0.001,0.000,0.002,0.084,0.002,0.011
0,beets,vegetable,vegetable,1,0.000,0.000,0.007,0.013,0.008,0.000,0.006,0.000,0.001,0.001,0.008,0.002,0.000,0.000,0.009,0.007,0.953,0.004,0.001
0,radish,vegetable,vegetable,1,0.000,0.000,0.007,0.013,0.008,0.000,0.006,0.000,0.001,0.001,0.008,0.002,0.000,0.000,0.009,0.007,0.953,0.004,0.001
0,spatula,kitchen,kitchen,1,0.008,0.016,0.000,0.000,0.000,0.000,0.001,0.940,0.001,0.004,0.007,0.000,0.010,0.003,0.005,0.001,0.000,0.000,0.000
0,bouquet,plant,plant,1,0.001,0.000,0.000,0.008,0.050,0.000,0.002,0.021,0.007,0.006,0.850,0.044,0.024,0.000,0.003,0.001,0.008,0.001,0.000
0,jeep,vehicle,vehicle,1,0.004,0.000,0.003,0.014,0.004,0.003,0.000,0.000,0.002,0.061,0.000,0.000,0.007,0.002,0.006,0.000,0.034,0.918,0.000
0,bathtub,furniture,furniture,1,0.010,0.027,0.000,0.002,0.000,0.877,0.006,0.000,0.000,0.006,0.000,0.001,0.000,0.013,0.005,0.008,0.002,0.003,0.006
0,rope,tool,tool,1,0.000,0.012,0.009,0.001,0.001,0.013,0.000,0.001,0.000,0.004,0.000,0.000,0.001,0.841,0.002,0.001,0.000,0.001,0.078
0,helmet,weapon,weapon,1,0.000,0.054,0.002,0.012,0.003,0.003,0.001,0.002,0.000,0.002,0.003,0.002,0.016,0.082,0.008,0.020,0.001,0.000,0.773
0,machete,weapon,weapon,1,0.000,0.004,0.003,0.004,0.009,0.007,0.000,0.000,0.000,0.003,0.000,0.001,0.002,0.142,0.002,0.042,0.003,0.000,0.796
0,lemon,fruit,fruit,1,0.021,0.000,0.017,0.001,0.880,0.000,0.000,0.001,0.001,0.009,0.070,0.006,0.004,0.001,0.000,0.002,0.089,0.002,0.009
0,peas,vegetable,vegetable,1,0.000,0.000,0.007,0.013,0.008,0.000,0.006,0.000,0.001,0.001,0.008,0.002,0.000,0.000,0.009,0.007,0.953,0.004,0.001
0,taxi,vehicle,vehicle,1,0.011,0.001,0.009,0.008,0.000,0.003,0.002,0.001,0.001,0.005,0.000,0.000,0.015,0.003,0.001,0.001,0.002,0.950,0.000
0,microwave,kitchen,kitchen,1,0.007,0.018,0.000,0.000,0.000,0.000,0.001,0.937,0.001,0.004,0.008,0.000,0.007,0.001,0.005,0.002,0.000,0.000,0.000
0,unicycle,vehicle,vehicle,1,0.011,0.001,0.010,0.008,0.000,0.003,0.002,0.001,0.002,0.005,0.000,0.000,0.016,0.003,0.001,0.001,0.002,0.955,0.000
0,faucet,kitchen,kitchen,1,0.007,0.018,0.000,0.000,0.000,0.000,0.001,0.937,0.001,0.004,0.008,0.000,0.007,0.001,0.005,0.002,0.000,0.000,0.000
0,honeydew,fruit,fruit,1,0.020,0.000,0.015,0.001,0.881,0.000,0.000,0.002,0.001,0.012,0.067,0.006,0.003,0.001,0.000,0.003,0.082,0.002,0.012
0,drapes,furniture,furniture,1,0.011,0.028,0.001,0.002,0.000,0.914,0.006,0.001,0.000,0.007,0.000,0.000,0.000,0.034,0.010,0.002,0.002,0.009,0.002
0,thimble,tool,tool,1,0.000,0.012,0.009,0.001,0.001,0.013,0.000,0.001,0.000,0.004,0.000,0.000,0.001,0.841,0.002,0.001,0.000,0.001,0.079
0,menu,UNKNOWN,UNKNOWN,1,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.001,0.982,0.006,0.000,0.006
0,bus,vehicle,vehicle,1,0.009,0.000,0.005,0.007,0.000,0.003,0.002,0.001,0.000,0.005,0.000,0.000,0.014,0.002,0.001,0.000,0.002,0.929,0.000
0,cockroach,invertebrate,invertebrate,1,0.006,0.003,0.018,0.036,0.000,0.005,0.872,0.001,0.001,0.000,0.004,0.070,0.002,0.000,0.007,0.005,0.021,0.001,0.001
0,toy,toy,toy,1,0.000,0.043,0.002,0.036,0.000,0.006,0.002,0.025,0.016,0.017,0.017,0.003,0.000,0.002,0.749,0.001,0.025,0.001,0.001
0,cedar,plant,plant,1,0.002,0.000,0.000,0.008,0.057,0.000,0.002,0.025,0.007,0.007,0.860,0.043,0.027,0.000,0.003,0.001,0.008,0.001,0.000
0,dress,clothing,clothing,1,0.001,0.000,0.934,0.001,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.018,0.001,0.001,0.008,0.007,0.001
0,pajamas,clothing,clothing,1,0.001,0.000,0.944,0.001,0.000,0.000,0.004,0.000,0.008,0.000,0.000,0.000,0.000,0.016,0.001,0.001,0.005,0.006,0.001
0,flea,invertebrate,invertebrate,1,0.013,0.010,0.054,0.006,0.000,0.010,0.381,0.003,0.012,0.000,0.000,0.005,0.001,0.000,0.006,0.000,0.001,0.001,0.000
0,bread,UNKNOWN,UNKNOWN,1,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.001,0.982,0.006,0.000,0.006
0,elk,mammal,mammal,1,0.000,0.007,0.002,0.002,0.000,0.000,0.000,0.002,0.956,0.001,0.038,0.002,0.001,0.000,0.004,0.006,0.001,0.000,0.000
0,jar,kitchen,kitchen,1,0.007,0.018,0.000,0.000,0.000,0.000,0.001,0.937,0.001,0.004,0.008,0.000,0.007,0.001,0.005,0.002,0.000,0.000,0.000
0,garlic,vegetable,vegetable,1,0.000,0.000,0.007,0.013,0.008,0.000,0.006,0.000,0.001,0.001,0.008,0.002,0.000,0.000,0.009,0.007,0.953,0.004,0.001
0,jet,vehicle,vehicle,1,0.009,0.000,0.006,0.007,0.000,0.003,0.002,0.001,0.000,0.005,0.000,0.000,0.014,0.002,0.001,0.000,0.002,0.930,0.000
0,hamster,mammal,mammal,1,0.039,0.054,0.005,0.001,0.000,0.004,0.016,0.003,0.702,0.000,0.000,0.005,0.002,0.000,0.000,0.017,0.000,0.000,0.000
0,sailboat,vehicle,vehicle,1,0.011,0.001,0.010,0.008,0.000,0.003,0.002,0.001,0.002,0.005,0.000,0.000,0.016,0.003,0.001,0.001,0.002,0.956,0.000
0,flamingo,bird,bird,1,0.933,0.000,0.001,0.000,0.002,0.006,0.003,0.006,0.006,0.001,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.008,0.000
0,crowbar,tool,tool,1,0.000,0.012,0.009,0.001,0.001,0.013,0.000,0.001,0.000,0.004,0.000,0.000,0.001,0.841,0.002,0.001,0.000,0.001,0.079
0,potato,vegetable,vegetable,1,0.000,0.000,0.007,0.013,0.008,0.000,0.006,0.000,0.001,0.001,0.008,0.002,0.000,0.000,0.009,0.007,0.953,0.004,0.001
0,banjo,musical_instrument,musical_instrument,1,0.003,0.001,0.000,0.001,0.017,0.020,0.000,0.014,0.002,0.787,0.001,0.000,0.002,0.057,0.010,0.001,0.001,0.039,0.001
0,rocker,furniture,furniture,1,0.010,0.027,0.000,0.002,0.000,0.905,0.004,0.000,0.000,0.010,0.000,0.001,0.000,0.034,0.009,0.002,0.002,0.006,0.002
0,iguana,reptile,reptile,1,0.004,0.001,0.000,0.008,0.002,0.002,0.038,0.000,0.031,0.001,0.151,0.754,0.001,0.000,0.003,0.002,0.040,0.000,0.000
0,drill,tool,tool,1,0.000,0.011,0.009,0.001,0.001,0.013,0.000,0.001,0.000,0.005,0.000,0.000,0.001,0.841,0.002,0.001,0.000,0.001,0.078
0,closet,room,room,1,0.008,0.046,0.018,0.007,0.002,0.000,0.000,0.030,0.002,0.002,0.005,0.000,0.852,0.105,0.001,0.000,0.000,0.030,0.003
0,house,building,building,1,0.000,0.832,0.000,0.005,0.000,0.011,0.000,0.016,0.008,0.003,0.001,0.000,0.012,0.012,0.021,0.005,0.000,0.000,0.001
0,tuba,musical_instrument,musical_instrument,1,0.003,0.001,0.000,0.001,0.017,0.020,0.000,0.014,0.002,0.787,0.001,0.000,0.002,0.057,0.010,0.001,0.001,0.039,0.001
0,shawl,clothing,clothing,1,0.000,0.000,0.941,0.002,0.000,0.000,0.007,0.001,0.011,0.000,0.000,0.000,0.001,0.012,0.002,0.001,0.003,0.004,0.000
0,bucket,tool,tool,1,0.001,0.005,0.009,0.000,0.002,0.007,0.000,0.006,0.000,0.010,0.000,0.000,0.003,0.822,0.001,0.001,0.000,0.002,0.042
0,tray,kitchen,kitchen,1,0.008,0.017,0.000,0.000,0.000,0.000,0.001,0.935,0.001,0.004,0.007,0.000,0.007,0.001,0.005,0.002,0.000,0.000,0.000
0,walnut,plant,plant,1,0.002,0.000,0.000,0.008,0.062,0.000,0.002,0.028,0.007,0.007,0.865,0.043,0.029,0.000,0.003,0.001,0.007,0.001,0.000
0,basement,room,room,1,0.004,0.022,0.006,0.029,0.014,0.000,0.003,0.013,0.000,0.002,0.061,0.002,0.895,0.007,0.001,0.000,0.000,0.020,0.042
0,rock,UNKNOWN,UNKNOWN,1,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.004,0.002,0.000,0.001,0.000,0.000,0.000,0.001,0.968,0.004,0.000,0.008
