fold,item,actual_category,guess_category,correct,bird_sim,building_sim,clothing_sim,fish_sim,fruit_sim,furniture_sim,invertebrate_sim,kitchen_sim,mammal_sim,musical_instrument_sim,plant_sim,reptile_sim,room_sim,tool_sim,toy_sim,UNKNOWN_sim,vegetable_sim,vehicle_sim,weapon_sim
0,stereo,UNKNOWN,UNKNOWN,1,0.012,0.024,0.020,0.001,0.071,0.054,0.008,0.002,0.004,0.003,0.017,0.004,0.004,0.005,0.005,0.676,0.053,0.024,0.018
0,candle,furniture,furniture,1,0.014,0.010,0.028,0.002,0.019,0.734,0.001,0.022,0.008,0.014,0.002,0.002,0.006,0.053,0.009,0.055,0.004,0.005,0.017
0,airplane,vehicle,vehicle,1,0.285,0.046,0.017,0.011,0.003,0.022,0.005,0.010,0.050,0.072,0.008,0.015,0.006,0.051,0.082,0.006,0.002,0.643,0.022
0,cod,fish,mammal,1,0.010,0.008,0.013,0.300,0.003,0.003,0.070,0.017,0.357,0.013,0.042,0.055,0.006,0.002,0.005,0.002,0.018,0.003,0.005
0,beets,vegetable,vegetable,1,0.003,0.002,0.019,0.008,0.068,0.001,0.028,0.029,0.001,0.005,0.070,0.021,0.004,0.003,0.029,0.140,0.501,0.058,0.006
0,sack,UNKNOWN,UNKNOWN,1,0.008,0.016,0.034,0.001,0.077,0.055,0.008,0.002,0.004,0.002,0.015,0.004,0.004,0.005,0.008,0.687,0.058,0.022,0.009
0,trout,fish,mammal,1,0.010,0.008,0.013,0.300,0.003,0.003,0.070,0.017,0.357,0.013,0.042,0.055,0.006,0.002,0.005,0.002,0.018,0.003,0.005
0,cranberry,fruit,fruit,1,0.005,0.002,0.003,0.001,0.629,0.009,0.008,0.003,0.012,0.008,0.012,0.004,0.006,0.009,0.005,0.089,0.056,0.005,0.080
0,unicycle,vehicle,vehicle,1,0.009,0.014,0.042,0.002,0.006,0.003,0.001,0.002,0.007,0.006,0.005,0.005,0.002,0.010,0.012,0.019,0.007,0.719,0.061
0,dagger,weapon,weapon,1,0.008,0.013,0.004,0.007,0.057,0.007,0.003,0.010,0.007,0.032,0.011,0.007,0.006,0.006,0.003,0.009,0.022,0.094,0.660
0,lamb,mammal,mammal,1,0.017,0.009,0.020,0.050,0.005,0.004,0.019,0.001,0.684,0.006,0.009,0.016,0.004,0.007,0.004,0.003,0.002,0.005,0.003
0,lantern,furniture,furniture,1,0.014,0.011,0.027,0.002,0.017,0.727,0.001,0.023,0.008,0.013,0.002,0.002,0.006,0.056,0.009,0.056,0.004,0.005,0.015
0,seal,mammal,mammal,1,0.017,0.009,0.020,0.053,0.005,0.004,0.020,0.002,0.674,0.007,0.009,0.016,0.004,0.006,0.004,0.003,0.002,0.005,0.003
0,cheese,UNKNOWN,UNKNOWN,1,0.006,0.015,0.010,0.007,0.052,0.047,0.029,0.010,0.004,0.004,0.042,0.010,0.007,0.002,0.006,0.574,0.176,0.003,0.005
0,skillet,kitchen,kitchen,1,0.007,0.012,0.002,0.014,0.005,0.054,0.004,0.640,0.002,0.011,0.010,0.013,0.008,0.330,0.026,0.003,0.058,0.005,0.005
0,flea,invertebrate,invertebrate,1,0.026,0.007,0.007,0.184,0.044,0.002,0.295,0.017,0.220,0.011,0.192,0.071,0.010,0.002,0.010,0.030,0.176,0.002,0.004
0,shovel,tool,tool,1,0.012,0.013,0.004,0.002,0.008,0.084,0.001,0.133,0.009,0.006,0.002,0.003,0.005,0.581,0.022,0.004,0.005,0.008,0.004
0,cougar,mammal,mammal,1,0.017,0.009,0.020,0.050,0.005,0.004,0.019,0.001,0.684,0.006,0.009,0.016,0.004,0.007,0.004,0.003,0.002,0.005,0.003
0,pigeon,bird,bird,1,0.585,0.042,0.001,0.008,0.043,0.021,0.036,0.011,0.060,0.041,0.039,0.010,0.007,0.041,0.028,0.036,0.018,0.058,0.025
0,harmonica,musical_instrument,weapon,1,0.188,0.035,0.001,0.084,0.026,0.050,0.021,0.113,0.031,0.342,0.030,0.034,0.029,0.022,0.021,0.002,0.021,0.046,0.371
0,finch,bird,bird,1,0.566,0.043,0.001,0.005,0.043,0.021,0.027,0.011,0.034,0.042,0.033,0.009,0.007,0.038,0.028,0.041,0.019,0.061,0.024
0,catfish,fish,mammal,1,0.010,0.008,0.013,0.300,0.003,0.003,0.070,0.017,0.357,0.013,0.042,0.055,0.006,0.002,0.005,0.002,0.018,0.003,0.005
0,car,vehicle,vehicle,1,0.009,0.014,0.042,0.002,0.006,0.003,0.001,0.002,0.007,0.006,0.005,0.005,0.002,0.010,0.012,0.019,0.007,0.719,0.061
0,minnow,fish,mammal,1,0.010,0.008,0.013,0.300,0.003,0.003,0.070,0.017,0.357,0.013,0.042,0.055,0.006,0.002,0.005,0.002,0.018,0.003,0.005
0,walnut,plant,invertebrate,1,0.026,0.007,0.007,0.188,0.044,0.002,0.299,0.017,0.226,0.011,0.194,0.071,0.010,0.002,0.010,0.030,0.176,0.002,0.004
0,ambulance,vehicle,vehicle,1,0.025,0.030,0.028,0.006,0.004,0.002,0.003,0.001,0.028,0.013,0.007,0.010,0.003,0.007,0.018,0.015,0.004,0.690,0.043
0,shelves,furniture,furniture,1,0.012,0.030,0.027,0.002,0.013,0.705,0.001,0.065,0.008,0.010,0.002,0.004,0.010,0.260,0.016,0.053,0.005,0.005,0.009
0,racquet,toy,tool,1,0.056,0.041,0.022,0.010,0.006,0.033,0.006,0.065,0.074,0.032,0.005,0.026,0.018,0.481,0.204,0.005,0.004,0.092,0.001
0,pearl,UNKNOWN,UNKNOWN,1,0.005,0.010,0.042,0.001,0.083,0.061,0.008,0.002,0.005,0.002,0.013,0.004,0.004,0.005,0.008,0.679,0.059,0.011,0.004
0,shrimp,invertebrate,invertebrate,1,0.026,0.007,0.007,0.188,0.044,0.002,0.299,0.017,0.226,0.011,0.194,0.072,0.010,0.002,0.010,0.030,0.176,0.002,0.004
0,chandelier,furniture,furniture,1,0.014,0.011,0.024,0.002,0.005,0.652,0.001,0.023,0.006,0.006,0.002,0.002,0.003,0.047,0.008,0.060,0.004,0.006,0.004
0,bison,mammal,mammal,1,0.017,0.009,0.020,0.050,0.005,0.004,0.019,0.001,0.684,0.006,0.009,0.016,0.004,0.007,0.004,0.003,0.002,0.005,0.003
0,dress,clothing,clothing,1,0.002,0.010,0.780,0.014,0.006,0.077,0.005,0.002,0.100,0.003,0.006,0.013,0.004,0.008,0.013,0.103,0.005,0.075,0.005
0,nylons,clothing,clothing,1,0.002,0.010,0.780,0.014,0.006,0.077,0.005,0.002,0.100,0.003,0.006,0.013,0.004,0.008,0.013,0.103,0.005,0.075,0.005
0,pear,fruit,fruit,1,0.003,0.002,0.002,0.008,0.505,0.005,0.029,0.031,0.003,0.016,0.059,0.014,0.010,0.003,0.006,0.076,0.419,0.003,0.118
