fold,item,actual_category,guess_category,correct,bird_sim,building_sim,clothing_sim,fish_sim,fruit_sim,furniture_sim,invertebrate_sim,kitchen_sim,mammal_sim,musical_instrument_sim,plant_sim,reptile_sim,room_sim,tool_sim,toy_sim,UNKNOWN_sim,vegetable_sim,vehicle_sim,weapon_sim
0,cabin,building,building,1,0.012,0.423,-0.002,0.034,0.026,0.310,0.082,0.032,0.027,0.115,0.054,0.015,0.051,0.164,0.239,0.118,0.016,0.094,0.089
0,mouse_(computer),UNKNOWN,clothing,0,0.013,0.082,0.105,0.038,0.029,0.019,0.091,0.048,0.030,0.013,-0.007,0.016,0.098,0.052,0.061,0.058,0.018,0.004,0.023
0,parsley,vegetable,vegetable,1,0.010,-0.008,-0.009,0.086,0.158,-0.011,0.131,-0.008,0.003,-0.004,0.315,0.306,-0.007,0.011,-0.008,0.107,0.616,0.012,0.017
0,ox,mammal,mammal,1,0.117,0.105,0.006,0.036,0.007,0.077,0.097,0.021,0.728,0.060,0.038,0.238,0.019,0.011,0.012,0.045,0.013,0.129,0.018
0,hare,mammal,mammal,1,0.059,0.034,0.005,0.043,0.014,0.047,0.123,0.007,0.432,0.002,0.010,0.188,0.005,-0.001,0.031,0.040,0.027,0.077,0.013
0,blueberry,fruit,fruit,1,0.050,0.097,0.009,0.162,0.602,0.055,0.204,0.060,0.050,0.016,0.030,0.026,0.027,0.059,0.172,0.238,0.205,0.005,0.027
0,microscope,tool,UNKNOWN,0,-0.006,0.043,0.009,-0.005,-0.006,0.036,-0.005,0.089,-0.008,0.016,-0.007,-0.008,0.016,0.098,0.040,0.101,-0.007,0.044,0.057
0,crowbar,tool,tool,1,0.004,0.159,0.074,-0.004,0.005,0.165,0.041,0.318,0.015,0.088,0.029,0.060,0.078,0.588,0.211,0.363,0.015,0.150,0.358
0,pillow,furniture,furniture,1,0.003,-0.008,0.059,-0.005,0.010,0.146,-0.007,-0.005,0.008,-0.002,0.003,-0.008,-0.008,-0.011,-0.009,0.025,0.007,-0.005,-0.009
0,cape,clothing,clothing,1,0.011,0.002,0.443,-0.005,0.008,0.002,0.051,-0.002,0.032,0.024,0.041,0.115,0.002,0.125,0.066,0.054,0.032,0.024,0.059
0,surfboard,vehicle,tool,0,-0.004,0.078,0.144,0.054,0.006,0.099,0.011,0.028,0.003,0.033,0.064,0.137,-0.001,0.194,0.177,0.080,0.013,0.108,0.071
0,walnut,plant,invertebrate,0,0.029,0.031,0.009,0.178,0.175,-0.000,0.275,-0.005,0.100,0.003,0.087,0.055,0.006,0.021,0.055,0.239,0.192,-0.005,0.003
0,turkey,bird,bird,1,0.506,0.052,-0.009,0.057,0.027,0.005,0.097,0.006,0.180,0.028,0.021,0.068,0.005,-0.007,-0.004,0.024,0.037,0.073,0.003
0,flute,musical_instrument,musical_instrument,1,0.003,0.176,0.065,0.015,0.014,0.129,0.041,0.163,0.013,0.713,0.028,0.054,0.043,0.237,0.155,0.170,0.011,0.079,0.129
0,chickadee,bird,bird,1,0.798,0.133,0.012,0.092,0.086,0.010,0.353,0.005,0.272,0.015,0.042,0.114,0.044,0.028,0.066,0.085,0.066,0.060,0.038
0,wrench,tool,tool,1,-0.006,0.104,0.015,-0.005,-0.007,0.113,-0.008,0.248,-0.008,0.047,-0.007,-0.007,0.047,0.570,0.111,0.208,-0.007,0.091,0.217
0,worm,invertebrate,reptile,0,0.010,0.072,0.115,0.049,0.041,0.017,0.146,0.007,0.072,0.013,0.094,0.200,0.015,0.168,0.126,0.121,0.043,0.035,0.076
0,key,UNKNOWN,tool,0,0.014,0.194,0.017,0.040,0.031,0.100,0.096,0.213,0.032,0.051,-0.007,0.017,0.076,0.248,0.146,0.219,0.019,0.088,0.161
0,prune,fruit,fruit,1,0.009,0.067,-0.006,0.031,0.607,-0.002,0.075,-0.003,0.023,-0.002,-0.003,0.011,0.040,0.003,0.028,0.026,0.087,-0.003,0.011
0,tongs,kitchen,kitchen,1,-0.005,0.144,0.054,-0.004,-0.001,0.175,-0.002,0.507,-0.003,0.064,0.014,0.044,0.065,0.411,0.197,0.284,0.001,0.125,0.224
0,skis,UNKNOWN,toy,0,-0.006,0.094,0.122,-0.004,0.002,0.088,-0.000,0.006,-0.001,0.037,0.050,0.092,0.002,0.152,0.174,0.060,0.007,0.083,0.060
