fold,item,actual_category,guess_category,correct,bird_sim,building_sim,clothing_sim,fish_sim,fruit_sim,furniture_sim,invertebrate_sim,kitchen_sim,mammal_sim,musical_instrument_sim,plant_sim,reptile_sim,room_sim,tool_sim,toy_sim,UNKNOWN_sim,vegetable_sim,vehicle_sim,weapon_sim
0,pony,mammal,mammal,1,0.110,0.115,-0.003,0.072,0.056,0.052,0.204,-0.001,0.502,-0.000,0.001,0.300,0.016,0.015,0.161,0.045,0.024,0.022,0.008
0,onions,vegetable,vegetable,1,0.026,-0.005,-0.004,-0.005,0.080,0.029,0.006,0.039,0.027,0.018,0.066,0.038,-0.007,0.009,0.043,0.097,0.463,0.014,-0.001
0,cabin,building,building,1,0.013,0.364,-0.007,0.028,0.039,0.325,0.091,0.029,0.025,0.103,0.054,0.022,0.042,0.156,0.231,0.118,0.017,0.085,0.084
0,drum,musical_instrument,musical_instrument,1,0.007,0.010,-0.002,-0.005,0.049,0.056,-0.009,0.116,-0.009,0.571,-0.007,-0.008,0.000,0.102,0.123,0.152,0.022,0.073,0.082
0,rock,UNKNOWN,weapon,0,-0.005,-0.010,-0.007,-0.000,0.006,0.008,0.044,-0.004,0.007,-0.000,0.100,-0.007,-0.006,0.091,0.068,0.103,-0.007,0.004,0.141
0,dresser,furniture,furniture,1,0.007,0.251,-0.007,-0.002,-0.005,0.466,0.005,0.078,0.018,0.081,0.041,0.010,0.358,0.110,0.135,0.113,-0.004,0.087,0.055
0,shack,building,building,1,0.023,0.463,0.001,0.046,0.064,0.385,0.157,0.112,0.045,0.113,0.052,0.037,0.168,0.223,0.263,0.221,0.030,0.116,0.119
0,sledgehammer,tool,tool,1,0.005,0.253,0.045,0.004,-0.003,0.358,0.012,0.251,0.017,0.147,0.054,0.039,0.044,0.636,0.274,0.351,0.005,0.207,0.269
0,bullet,weapon,weapon,1,0.013,0.129,0.002,0.028,0.039,0.075,0.099,0.128,0.059,0.037,0.000,0.021,0.026,0.176,0.114,0.173,0.018,0.149,0.329
0,pear,fruit,fruit,1,0.031,-0.008,0.006,0.107,0.718,0.052,0.140,0.002,0.024,0.003,0.283,0.198,-0.006,0.008,-0.009,0.121,0.370,0.031,0.010
0,falcon,bird,bird,1,0.851,0.034,-0.008,0.021,-0.005,-0.001,0.250,0.001,0.135,0.013,0.008,0.070,0.003,-0.009,-0.006,-0.003,-0.003,0.103,0.003
0,cougar,mammal,mammal,1,0.100,0.016,-0.009,0.033,-0.003,0.010,0.080,0.008,0.621,0.007,0.026,0.283,-0.002,-0.005,0.018,0.016,0.000,0.159,0.045
0,leopard,mammal,mammal,1,0.075,0.041,-0.006,0.030,-0.003,0.024,0.061,0.007,0.519,0.016,0.011,0.165,0.006,-0.007,0.003,0.002,-0.002,0.089,0.001
0,bridge,building,tool,0,0.020,0.211,0.036,0.020,0.018,0.178,0.064,0.152,0.045,0.088,0.042,0.062,0.037,0.255,0.161,0.212,0.017,0.155,0.138
0,thermometer,tool,toy,0,-0.005,-0.010,0.036,0.004,0.025,0.038,0.006,0.065,-0.004,-0.001,0.016,0.037,-0.006,0.054,0.086,0.058,0.021,0.003,0.029
0,comb,tool,tool,1,0.007,0.068,0.065,0.015,0.021,0.085,0.062,0.186,0.039,0.016,-0.002,0.076,0.012,0.192,0.143,0.176,0.008,0.041,0.063
0,alligator,reptile,reptile,1,0.037,-0.012,0.062,0.225,0.049,0.010,0.120,0.001,0.332,0.001,0.199,0.674,-0.001,0.089,0.033,0.043,0.195,0.025,0.096
0,tongs,kitchen,kitchen,1,-0.005,0.092,0.060,0.005,-0.003,0.213,0.008,0.468,-0.003,0.079,0.018,0.041,0.027,0.424,0.195,0.346,0.007,0.137,0.219
0,harp,musical_instrument,musical_instrument,1,0.023,0.124,0.004,0.002,-0.002,0.085,0.021,0.018,0.050,0.749,0.031,0.031,0.019,0.031,0.103,0.031,0.001,0.094,0.022
0,bison,mammal,mammal,1,0.107,0.119,0.003,0.054,0.009,0.021,0.105,0.023,0.638,0.053,0.086,0.210,0.023,0.005,0.014,0.075,0.019,0.135,0.009
0,van,vehicle,vehicle,1,0.023,0.111,-0.008,0.001,-0.004,0.030,0.020,0.028,0.053,0.027,0.018,0.031,0.142,0.022,0.128,0.014,-0.001,0.557,0.009
0,bracelet,UNKNOWN,UNKNOWN,1,-0.006,0.013,0.039,-0.005,0.034,0.058,-0.004,0.092,-0.008,0.019,-0.007,-0.008,0.001,0.100,0.090,0.292,0.013,0.041,0.045
0,axe,weapon,weapon,1,-0.006,-0.012,-0.009,-0.001,-0.007,0.018,-0.009,0.090,-0.004,-0.002,-0.007,0.018,-0.007,0.290,0.019,0.033,-0.008,0.015,0.314
0,pin,clothing,tool,0,0.026,0.223,0.020,0.050,0.070,0.135,0.158,0.227,0.046,0.065,0.005,0.041,0.049,0.385,0.172,0.313,0.035,0.112,0.250
0,camisole,clothing,clothing,1,0.016,-0.007,0.349,-0.006,0.001,0.076,-0.007,0.001,0.023,0.014,0.018,-0.010,-0.008,-0.013,-0.012,0.044,0.019,-0.004,-0.010
0,book,UNKNOWN,UNKNOWN,1,-0.006,-0.012,-0.011,-0.005,-0.007,0.008,-0.009,-0.009,-0.009,-0.006,-0.007,-0.009,-0.007,-0.010,-0.010,0.052,-0.008,-0.011,-0.009
0,bouquet,plant,toy,0,0.012,-0.008,0.004,-0.004,-0.005,-0.003,0.014,-0.008,-0.007,-0.004,0.009,-0.006,-0.005,-0.000,0.042,0.002,-0.006,-0.008,-0.006
0,cucumber,vegetable,vegetable,1,0.000,-0.011,0.055,0.038,0.180,0.011,0.072,0.004,0.002,0.000,0.222,0.241,-0.007,0.075,0.029,0.057,0.686,0.020,0.059
0,duck,bird,bird,1,0.503,-0.013,-0.013,0.245,0.023,-0.016,0.171,-0.013,0.163,-0.007,0.039,0.165,-0.008,-0.014,-0.012,0.019,0.053,0.010,-0.008
0,mat,furniture,invertebrate,0,0.007,0.057,0.025,0.019,0.026,0.048,0.064,0.011,0.015,-0.002,-0.002,0.013,0.006,0.004,0.021,0.029,0.010,0.001,0.001
0,raven,bird,bird,1,0.861,0.015,0.013,0.029,0.000,0.015,0.281,-0.004,0.218,0.058,0.002,0.073,-0.001,0.003,-0.007,-0.002,0.030,0.068,0.031
0,mole_(animal),mammal,mammal,1,0.063,0.167,0.001,0.072,0.093,0.037,0.265,0.005,0.399,0.008,0.065,0.154,0.027,0.031,0.080,0.130,0.054,0.008,0.017
0,pearl,UNKNOWN,UNKNOWN,1,0.071,0.087,0.036,0.025,0.149,0.109,0.138,0.129,0.109,0.069,0.074,0.019,0.009,0.071,0.197,0.350,0.137,0.039,0.043
0,escalator,room,room,1,0.005,0.039,0.004,0.008,-0.005,0.071,0.019,0.125,0.011,0.047,-0.006,-0.008,0.127,0.115,0.039,0.097,0.005,0.036,0.059
0,banjo,musical_instrument,musical_instrument,1,-0.002,0.156,0.002,-0.004,0.033,0.229,-0.008,0.053,-0.008,0.716,0.030,-0.007,0.014,0.109,0.247,0.099,0.014,0.047,0.049
0,camel,mammal,mammal,1,0.055,0.017,0.003,0.017,0.004,0.021,0.074,-0.003,0.351,0.010,0.051,0.157,0.009,-0.000,0.029,0.039,0.009,0.076,-0.005
0,mirror,furniture,furniture,1,-0.005,-0.009,0.005,-0.004,-0.006,0.078,-0.005,0.068,-0.007,0.002,-0.005,-0.007,0.013,0.007,0.022,0.038,-0.006,-0.006,-0.003
0,house,building,building,1,0.028,0.461,0.031,0.021,0.027,0.155,0.083,0.031,0.058,0.060,0.036,0.040,0.114,0.060,0.097,0.089,0.013,0.117,0.039
0,veil,clothing,clothing,1,0.032,-0.003,0.083,-0.004,-0.001,0.012,0.023,0.017,0.046,0.036,0.023,-0.007,-0.006,-0.002,-0.009,0.043,0.035,0.000,0.003
0,lettuce,vegetable,vegetable,1,0.018,-0.011,-0.011,0.160,0.125,0.010,0.170,-0.004,0.015,-0.006,0.325,0.204,-0.007,0.002,-0.010,0.107,0.753,0.004,0.009
0,mandarin,fruit,fruit,1,0.014,0.066,-0.006,0.049,0.725,0.017,0.086,0.030,0.022,-0.002,0.009,0.016,0.008,0.018,0.075,0.108,0.170,0.004,0.006
0,iguana,reptile,reptile,1,0.035,-0.012,-0.007,0.037,0.044,0.041,0.094,-0.006,0.239,-0.006,0.167,0.488,-0.008,-0.000,-0.011,0.007,0.173,0.002,0.007
0,squirrel,mammal,mammal,1,0.138,0.078,0.002,0.061,0.045,0.041,0.193,-0.000,0.616,0.002,0.044,0.327,0.009,0.011,0.043,0.074,0.027,0.048,0.005
0,rooster,bird,bird,1,0.520,-0.011,-0.009,0.071,0.040,-0.010,0.150,-0.007,0.315,0.001,0.037,0.094,-0.008,-0.009,-0.007,0.027,0.055,0.014,-0.010
0,armour,weapon,tool,0,-0.005,0.070,0.050,-0.004,-0.006,0.130,-0.004,0.208,-0.005,0.069,-0.001,-0.007,0.020,0.312,0.112,0.273,-0.006,0.102,0.175
